                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4666,                 3.8973,                 1.3184,                0.87825,                 0.8518,                0.85936,                0.61006,                  2.655,                 10.255,                 2.7681,             0.00024085,             0.00024085,             0.00024085
                     64,                 1.4947,                 3.9249,                 1.3543,                0.87205,                0.85778,                0.85868,                0.60358,                 2.6191,                 10.231,                 2.6421,             0.00023046,             0.00023046,             0.00023046
                     65,                 1.4591,                 3.8789,                 1.3496,                0.85627,                0.85685,                0.85182,                0.60245,                 2.6514,                 10.303,                 2.5206,             0.00022021,             0.00022021,             0.00022021
                     66,                 1.4538,                 3.7854,                 1.3713,                0.86901,                0.85376,                0.85546,                0.61509,                  2.673,                 10.357,                 2.4918,             0.00021009,             0.00021009,             0.00021009
                     67,                 1.4563,                 3.9197,                 1.4065,                0.87671,                0.83651,                0.85288,                0.60694,                  2.707,                   10.6,                 2.6017,             0.00020012,             0.00020012,             0.00020012
                     68,                 1.4779,                 3.8679,                 1.4375,                0.86899,                0.84498,                0.84554,                0.59105,                 2.7696,                 10.692,                 2.6375,              0.0001903,              0.0001903,              0.0001903
                     69,                 1.4651,                  3.828,                 1.4193,                0.87644,                0.83953,                0.84993,                0.60801,                 2.6897,                 10.455,                 2.4648,             0.00018066,             0.00018066,             0.00018066
                     70,                 1.4335,                 3.7253,                 1.3931,                0.87502,                0.85239,                 0.8551,                 0.6083,                 2.6249,                 10.274,                 2.4613,             0.00017119,             0.00017119,             0.00017119
                     71,                 1.5235,                 4.1051,                 1.3959,                0.86686,                0.85337,                0.85376,                0.61875,                 2.6182,                  10.35,                 2.5188,             0.00016191,             0.00016191,             0.00016191
                     72,                 1.4127,                 3.7148,                 1.3692,                0.86115,                0.85683,                0.85724,                0.62355,                 2.6325,                 10.157,                 2.6563,             0.00015283,             0.00015283,             0.00015283
                     73,                 1.4112,                 3.7944,                 1.3915,                0.88514,                0.83966,                0.85826,                0.61893,                 2.6171,                 9.8219,                  2.389,             0.00014395,             0.00014395,             0.00014395
                     74,                 1.4347,                 3.8193,                 1.3856,                 0.8921,                0.83521,                0.86074,                0.60826,                 2.6666,                 9.9164,                 2.6367,             0.00013529,             0.00013529,             0.00013529
                     75,                 1.3725,                  3.689,                 1.3535,                0.86508,                0.86806,                0.86005,                 0.6205,                 2.6046,                  9.708,                 2.5555,             0.00012684,             0.00012684,             0.00012684
                     76,                 1.3922,                 3.6558,                 1.3738,                0.88045,                 0.8539,                0.85685,                0.61716,                 2.6422,                 9.9314,                 2.4297,             0.00011863,             0.00011863,             0.00011863
                     77,                 1.3889,                 3.7525,                 1.3665,                0.86272,                0.86332,                0.85765,                0.61287,                  2.646,                 9.9545,                 2.4747,             0.00011066,             0.00011066,             0.00011066
                     78,                 1.3801,                 3.7293,                 1.4001,                0.88672,                0.84304,                0.85739,                0.61005,                 2.6499,                 9.9415,                   2.43,             0.00010293,             0.00010293,             0.00010293
                     79,                 1.3494,                 3.6936,                 1.3841,                0.87262,                0.85597,                0.85582,                0.61341,                 2.7029,                 10.433,                 2.5542,             9.5458e-05,             9.5458e-05,             9.5458e-05
                     80,                 1.3613,                  3.604,                 1.3381,                0.88132,                0.84261,                0.85919,                0.61469,                 2.6646,                 10.363,                 2.5822,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     81,                 1.3466,                 3.5702,                 1.3402,                0.86923,                0.85396,                0.86047,                 0.6182,                 2.6518,                 10.117,                 2.5049,             8.1306e-05,             8.1306e-05,             8.1306e-05
                     82,                 1.3763,                  3.632,                 1.3708,                0.86906,                0.85554,                0.85729,                0.61934,                 2.6441,                 10.165,                 2.5603,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     83,                 1.3816,                 3.6571,                 1.3792,                0.87079,                0.85251,                0.85902,                0.62163,                 2.5994,                 10.332,                 2.6582,             6.8255e-05,             6.8255e-05,             6.8255e-05
                     84,                 1.3298,                 3.5686,                 1.3643,                 0.8686,                0.84914,                 0.8553,                0.60954,                 2.6658,                 10.492,                 2.6261,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     85,                 1.3713,                 3.6343,                 1.3475,                0.88237,                 0.8404,                0.85926,                0.61779,                 2.6365,                 10.327,                 2.5604,             5.6358e-05,             5.6358e-05,             5.6358e-05
                     86,                 1.3201,                 3.5257,                 1.3188,                0.87673,                 0.8564,                0.86217,                0.62219,                  2.649,                 10.115,                 2.5522,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     87,                 1.3728,                 3.6663,                 1.3921,                0.88205,                0.85597,                0.86083,                0.61345,                 2.6595,                 10.031,                 2.5519,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     88,                 1.3196,                 3.5527,                 1.3454,                0.88268,                0.85164,                 0.8585,                0.61921,                 2.6567,                 10.226,                 2.5447,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     89,                 1.3388,                 3.6406,                 1.3727,                0.88242,                0.85016,                0.85887,                0.62213,                 2.6488,                 10.235,                  2.518,             3.6208e-05,             3.6208e-05,             3.6208e-05
                     90,                 1.3626,                 3.6349,                 1.3259,                0.87667,                0.85148,                0.85807,                0.62143,                 2.6396,                  10.26,                  2.557,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     91,                  1.268,                 3.4158,                 1.3539,                0.87583,                0.85294,                0.85648,                0.61417,                 2.6601,                  10.35,                 2.5538,             2.8035e-05,             2.8035e-05,             2.8035e-05
                     92,                 1.2678,                  3.376,                 1.3715,                0.87458,                0.84948,                0.85659,                0.61288,                 2.6736,                 10.281,                 2.5238,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     93,                 1.2749,                 3.3237,                  1.389,                0.87452,                0.85552,                0.85764,                0.61567,                 2.6683,                 10.268,                 2.4926,             2.1173e-05,             2.1173e-05,             2.1173e-05
                     94,                 1.2188,                 3.2091,                 1.3715,                0.88056,                0.84699,                0.85866,                0.61825,                 2.6667,                 10.338,                 2.4808,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     95,                 1.2364,                 3.1976,                 1.3491,                0.87871,                0.84716,                0.85755,                0.61865,                 2.6717,                 10.443,                 2.4875,             1.5652e-05,             1.5652e-05,             1.5652e-05
                     96,                 1.2294,                 3.2264,                 1.3491,                0.87527,                0.85121,                0.85828,                0.61919,                 2.6576,                 10.504,                 2.4985,               1.34e-05,               1.34e-05,               1.34e-05
                     97,                 1.2804,                 3.3014,                   1.34,                0.87724,                0.84732,                0.85929,                0.61925,                 2.6592,                 10.522,                 2.5095,             1.1491e-05,             1.1491e-05,             1.1491e-05
                     98,                 1.2362,                 3.1872,                 1.3686,                0.88007,                0.84186,                0.85891,                0.61863,                  2.661,                 10.549,                  2.508,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     99,                 1.2839,                 3.2371,                   1.36,                0.88117,                0.83939,                0.85732,                0.61797,                 2.6576,                 10.562,                 2.5107,             8.7085e-06,             8.7085e-06,             8.7085e-06
                    100,                 1.2465,                 3.2915,                 1.3349,                0.88008,                 0.8404,                0.85717,                0.62066,                 2.6574,                 10.575,                 2.5026,             7.8374e-06,             7.8374e-06,             7.8374e-06
